Objects avalaible to be detected,
backpack,
balance_beam,
ball,
baseball_bat,
baseball_glove,
belt,
bicycle,
bicycle_helmet,
bicycle_wheel,
binoculars,
boat,
boot,
bottle,
bowling_equipment,
boy,
canoe,
clothing,
coat,
cricket_ball,
dress,
fashion_accessory,
football,
football_helmet,
girl,
glasses,
glove,
golf_ball,
golf_cart,
handbag,
helmet,
hiking_equipment,
indoor_rower,
jacket,
jeans,
jet_ski,
kite,
knife,
lifejacket,
luggage_and_bags,
man,
miniskirt,
mobile_phone,
paddle,
person,
punching_bag,
roller_skates,
rugby_ball,
sandal,
scarf,
shirt,
shoes,
shorts,
skateboard,
ski,
skirt,
snowboard,
snowmobile,
sock,
sports_equipment,
sports_uniform,
stationary_bicycle,
suitcase,
sun_hat,
sunglasses,
surfboard,
swim_cap,
swimming_pool,
swimwear,
table_tennis_racket,
tennis_ball,
tennis_racket,
tent,
tie,
towel,
training_bench,
treadmill,
trousers,
unicycle,
volleyball,
watch,
woman,
